test_id,seed,status,measured_cycles,instr_count,load_count,store_count,mem_read_count,mem_write_count,icache_miss_count,dcache_miss_count,checksum_status,scoreboard_errors,scoreboard_warnings,timeout,log_file,notes
P26,1,PASS,366070,178985,8260,4130,114,32,76,70,PASS_DONE_FLAG,0,1,0,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_1_questa.log,p5_pass=PASS;uvm_error=0;uvm_fatal=0;memory_latency_mode=random_wait;random_wait_seed=1;checksum_status=PASS_DONE_FLAG
P26,2,PASS,366186,178988,8260,4130,114,32,76,70,PASS_DONE_FLAG,0,1,0,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_2_questa.log,p5_pass=PASS;uvm_error=0;uvm_fatal=0;memory_latency_mode=random_wait;random_wait_seed=2;checksum_status=PASS_DONE_FLAG
P26,3,PASS,366082,178988,8260,4130,114,32,76,70,PASS_DONE_FLAG,0,1,0,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_questa.log,p5_pass=PASS;uvm_error=0;uvm_fatal=0;memory_latency_mode=random_wait;random_wait_seed=3;checksum_status=PASS_DONE_FLAG
P26,5,PASS,366216,178993,8260,4130,114,32,76,70,PASS_DONE_FLAG,0,1,0,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_5_questa.log,p5_pass=PASS;uvm_error=0;uvm_fatal=0;memory_latency_mode=random_wait;random_wait_seed=5;checksum_status=PASS_DONE_FLAG
P26,7,PASS,366347,178989,8260,4130,114,32,76,70,PASS_DONE_FLAG,0,1,0,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_7_questa.log,p5_pass=PASS;uvm_error=0;uvm_fatal=0;memory_latency_mode=random_wait;random_wait_seed=7;checksum_status=PASS_DONE_FLAG
