test_name,bench_name,cache_mode,event_type,source,addr,request_cycle,response_cycle,latency,notes
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000138,1504,1505,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,STORE_HIT_TO_DIRTY_UPDATE,dcache_monitor,00001000,1503,1506,3,store_completion=dirty_update_event
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000013c,1506,1507,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000140,1509,1551,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000140,1508,1551,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000144,1552,1553,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000148,1554,1555,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000014c,1556,1557,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,1557,1560,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001004,1562,1565,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000150,1559,1601,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000150,1558,1601,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000154,1602,1603,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000158,1604,1605,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000015c,1606,1607,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001008,1605,1608,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000160,1609,1651,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000160,1608,1651,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000164,1652,1653,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000168,1654,1655,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000016c,1656,1657,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000170,1659,1701,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000170,1658,1701,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000174,1702,1703,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000178,1704,1705,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000017c,1706,1707,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000180,1709,1751,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000180,1708,1751,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000184,1752,1753,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000188,1754,1755,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000018c,1756,1757,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,1759,1762,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000190,1759,1801,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000190,1758,1801,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000194,1802,1803,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000198,1804,1805,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000019c,1806,1807,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800001a0,1809,1851,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001a0,1808,1851,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001a4,1852,1853,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001100,1852,1894,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001100,1809,1896,87,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001a8,1897,1898,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001ac,1899,1900,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,STORE_HIT_TO_DIRTY_UPDATE,dcache_monitor,00001004,1508,1901,393,store_completion=dirty_update_event
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001b0,1901,1944,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800001b0,1902,1944,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001b4,1945,1946,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001200,1945,1987,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001200,1902,1989,87,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001b8,1990,1991,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,STORE_HIT_TO_DIRTY_UPDATE,dcache_monitor,00001008,1553,1993,440,store_completion=dirty_update_event
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001bc,1992,1993,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,DIRTY_VBUF_WRITEBACK_START_TO_DONE,dcache_monitor,00001000,1909,2074,165,dirty_vbuf_writeback
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_WRITE_ADDR_DATA_TO_RSP,mem_monitor_dcache,00001000,1992,2074,82,store_latency=N/A_core_completion_not_defined
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001300,2083,2125,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001300,1994,2127,133,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800001c0,2129,2171,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001c0,2128,2171,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001c4,2172,2173,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_WRITE_ADDR_DATA_TO_RSP,mem_monitor_dcache,00001100,2173,2255,82,store_latency=N/A_core_completion_not_defined
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,DIRTY_VBUF_WRITEBACK_START_TO_DONE,dcache_monitor,00001100,2081,2255,174,dirty_vbuf_writeback
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001000,2264,2306,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,2129,2308,179,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001c8,2309,2310,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001cc,2311,2312,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001d0,2313,2356,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800001d0,2314,2356,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001d4,2357,2358,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,DIRTY_VBUF_WRITEBACK_START_TO_DONE,dcache_monitor,00001200,2262,2440,178,dirty_vbuf_writeback
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_WRITE_ADDR_DATA_TO_RSP,mem_monitor_dcache,00001200,2358,2440,82,store_latency=N/A_core_completion_not_defined
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,STORE_MISS_TO_REFILL_LAST_RSP,dcache_monitor,00001401,2316,2483,167,store_miss_refill=write_miss_event_to_dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001400,2441,2483,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001d8,2486,2487,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001dc,2488,2489,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800001e0,2491,2533,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001e0,2490,2533,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001e4,2534,2535,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001e8,2536,2537,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001ec,2538,2539,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001400,2541,2544,3,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800001f0,2541,2583,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001f0,2540,2583,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001f4,2584,2585,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001f8,2586,2587,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001404,2585,2588,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800001fc,2588,2589,1,class=hit_event_correlated
