phase,group_id,test_id,test_name,category,main_metric,metric_key,metric_kind,metric_count,metric_min,metric_avg,metric_max,metric_value,measurement_cycles,evidence_status,target_transaction_count,observed_transaction_count,reason,evidence_log,source_csv
6,A2,P12,perf_dirty_writeback_throughput,Throughput / bandwidth,dirty_writeback_completed_per_cycle,dirty_writeback_completed_per_cycle,throughput_per_cycle,31,N/A,N/A,N/A,0.000433,71650,PASS,4,31,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a2_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a2_full_p6_summary.csv
6,B,P13,perf_mem_latency_no_wait,Memory latency sensitivity,miss latency and cycle count at no wait,mem_read_latency,latency_sensitivity,113,2,2.000000,2,2.000000,64906,PASS,16,113,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_b_no_wait_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_b_no_wait_full_p6_summary.csv
6,B,P14,perf_mem_latency_fixed_wait,Memory latency sensitivity,latency scaling by fixed wait,mem_read_latency,latency_sensitivity,113,42,42.000000,42,42.000000,71650,PASS,16,113,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_b_fixed_wait_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_b_fixed_wait_full_p6_summary.csv
6,B,P15,perf_mem_latency_random_wait,Memory latency sensitivity,avg/max latency and distribution,mem_read_latency,latency_sensitivity,113,2,10.920354,22,avg=10.920354;max=22;distribution=READ=2:7|3:9|4:6|5:9|6:6|7:3|8:8|9:4|10:4|11:7|12:4|13:1|14:5|15:7|16:6|17:4|18:6|19:6|20:5|21:4|22:2;WRITE=1:3|4:2|5:4|6:3|9:3|10:4|12:1|13:3|14:3|18:1|19:2|20:2|21:1,66059,PASS,16,113,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p15_random_wait_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p15_random_wait_full_p6_summary.csv
6,B,P16,perf_mem_latency_long_wait,Memory latency sensitivity,max latency; no timeout; no deadlock,mem_read_latency,latency_sensitivity,113,122,122.000000,122,max=122;timeout=0;scoreboard_errors=0,83123,PASS,16,113,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_b_long_wait_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_b_long_wait_full_p6_summary.csv
6,C,P17,perf_b2b_icache_fetch_hit,Back-to-back efficiency,hit-to-hit gap; unnecessary stall cycles,b2b_ifetch_hit_count,back_to_back_efficiency,29127,2,2.234284,8,count=29127;min=2;avg=2.234284;max=8,66126,PASS,32,29127,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_p6_summary.csv
6,C,P18,perf_b2b_dcache_load_hit,Back-to-back efficiency,load hit gap; throughput stability,b2b_load_hit_count,back_to_back_efficiency,7277,5,5.058128,16,count=7277;min=5;avg=5.058128;max=16,66126,PASS,32,7277,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_p6_summary.csv
6,C,P19,perf_b2b_dcache_store_hit,Back-to-back efficiency,store hit gap; dirty update continuity,b2b_store_hit_count,back_to_back_efficiency,3153,4,4.480812,14,count=3153;min=4;avg=4.480812;max=14,66126,PASS,32,3153,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_p6_summary.csv
6,C,P20,perf_b2b_load_after_store_same_line,Back-to-back efficiency,store-to-load gap; latest data returned,b2b_load_after_store_same_line_count,back_to_back_efficiency,130,4,8.784615,29,count=130;min=4;avg=8.784615;max=29,66126,PASS,32,130,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_p6_summary.csv
6,C,P21,perf_b2b_icache_dcache_miss_contention,Back-to-back efficiency,arbiter stall cycles; no lost request,b2b_icache_dcache_miss_contention_count,back_to_back_efficiency,193,1,14.357513,119,count=193;min=1;avg=14.357513;max=119,66126,PASS,32,193,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_p6_summary.csv
6,C,P22,perf_b2b_dcache_miss_vbuf_writeback,Back-to-back efficiency,backpressure cycles; no permanent stall,b2b_dcache_miss_vbuf_writeback_count,back_to_back_efficiency,96,0,14.239583,68,count=96;min=0;avg=14.239583;max=68,66126,PASS,32,96,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_c_b2b_full_p6_summary.csv
6,E,P23,perf_congestion_dcache_vbuf_full_setup,Congestion/backpressure tests,dcache_dirty_full_observed; dirty_victim_count; vbuf_full_cycle_count; vbuf_busy_cycle_count; vbuf_capture_count; vbuf_writeback_start_count,congestion_dcache_vbuf_full_setup,congestion_backpressure,1,N/A,N/A,N/A,dirty_full=1;dirty_victim=724;vbuf_full=7094;vbuf_busy=7063;vbuf_capture=62;vbuf_wb_start=62,76155,PASS,1,1,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_e_congestion_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv
6,E,P24,perf_congestion_1k_fixed_period_requests,Congestion/backpressure tests,offered_request_count; accepted_request_count; completed_response_count; request_period_cycles; stall_cycle_count; backpressure_cycle_count; request_accept_rate; response_complete_rate,congestion_1k_fixed_period_requests,congestion_backpressure,1000,N/A,N/A,N/A,offered=1000;accepted=1000;completed=1000;period=1;stall=0;backpressure=14219;accept_rate=1.000000;response_rate=1.000000,76155,PASS,1000,1000,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_e_congestion_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv
6,E,P25,perf_congestion_vbuf_ram_writeback,Congestion/backpressure tests,vbuf_writeback_start_count; vbuf_writeback_done_count; mem_write_valid_ready_handshake_count; mem_write_data_beat_count; mem_write_response_count; mem_write_latency_min_avg_max; writeback_throughput,congestion_vbuf_ram_writeback,congestion_backpressure,62,82,82.000000,82,vbuf_wb_start=62;vbuf_wb_done=62;mem_write_handshake=32;data_beats=32;responses=31;latency=82/82.000000/82;writeback_throughput=0.000814,76155,PASS,1,62,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_e_congestion_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv
6,E,P26,perf_congestion_recovery_no_deadlock,Congestion/backpressure tests,drain_cycles; final_pending_request_count; completed_response_count; accepted_request_count; final_vbuf_empty_or_safe; final_writeback_pending_count; timeout; scoreboard_errors,congestion_recovery_no_deadlock,congestion_backpressure,1000,N/A,N/A,N/A,drain_cycles=100;final_pending=0;completed=1000;accepted=1000;vbuf_safe=1;writeback_pending=1;timeout=0;scoreboard_errors=0,76155,PASS,1,1000,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_e_congestion_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv
6,F,P27,perf_compare_same_benchmark_modes,Cache mode performance comparison,cycle_count by mode,cycle_count_by_mode,mode_comparison,N/A,N/A,N/A,N/A,NO_CACHE=1082253;DCACHE_ONLY=207254;FULL_L1=76135,NO_CACHE=1082253;DCACHE_ONLY=207254;FULL_L1=76135,PASS,0,N/A,true_three_mode_uvm_comparison_passed,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_mode_compare_full.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_mode_compare_summary.csv
6,F,P28,perf_compare_memory_traffic_reduction,Cache mode performance comparison,mem_read_count; mem_write_count; refill count,memory_traffic_by_mode,mode_comparison,N/A,N/A,N/A,N/A,NO_CACHE:read=37203|write=4130|refill=0|traffic_per_instr=1.428083;DCACHE_ONLY:read=28981|write=31|refill=70|traffic_per_instr=1.002384;FULL_L1:read=113|write=31|refill=145|traffic_per_instr=0.004975,NO_CACHE=1082253;DCACHE_ONLY=207254;FULL_L1=76135,PASS,0,N/A,true_three_mode_uvm_comparison_passed,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_mode_compare_full.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_mode_compare_summary.csv
6,F,P29,perf_compare_speedup_hit_miss,Cache mode performance comparison,speedup; hit_rate; miss_rate,speedup_hit_miss_by_mode,mode_comparison,N/A,N/A,N/A,N/A,NO_CACHE:speedup=1.000000|ic_hit=N/A|ic_miss=N/A|dc_hit=N/A|dc_miss=N/A|available_hit=N/A|available_miss=N/A;DCACHE_ONLY:speedup=5.221868|ic_hit=N/A|ic_miss=N/A|dc_hit=0.994350|dc_miss=0.005650|available_hit=0.994350|available_miss=0.005650;FULL_L1:speedup=14.214921|ic_hit=0.997409|ic_miss=0.002591|dc_hit=0.994350|dc_miss=0.005650|available_hit=ic=0.997409|dc=0.994350|available_miss=ic=0.002591|dc=0.005650,NO_CACHE=1082253;DCACHE_ONLY=207254;FULL_L1=76135,PASS,0,N/A,true_three_mode_uvm_comparison_passed,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_mode_compare_full.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_mode_compare_summary.csv
